node_id,node_symbol,hgnc_symbol,entrez_id,ensembl_id
st6gal1,ST6GAL1,ST6GAL1,6480,ENSG00000073849
mgat5,MGAT5,MGAT5,4249,ENSG00000152127
cmas,CMAS,CMAS,55907,ENSG00000111726
mavs,MAVS,MAVS,57506,ENSG00000088888
eif2ak2,EIF2AK2,EIF2AK2,5610,ENSG00000055332
eif2a,EIF2S1,EIF2S1,1965,ENSG00000134001
atf4,ATF4,ATF4,468,ENSG00000128272
ddit3,DDIT3,DDIT3,1649,ENSG00000175197
eif2ak3,EIF2AK3,EIF2AK3,9451,ENSG00000172071
atf6,ATF6,ATF6,22926,ENSG00000118217
xbp1,XBP1,XBP1,7494,ENSG00000100219
cycs,CYCS,CYCS,54205,ENSG00000172115
casp9,CASP9,CASP9,842,ENSG00000132906
casp3,CASP3,CASP3,836,ENSG00000164305
bcl2,BCL2,BCL2,596,ENSG00000171791
bax,BAX,BAX,581,ENSG00000087088
tfam,TFAM,TFAM,7019,ENSG00000108064
drp1,DNM1L,DNM1L,10059,ENSG00000087470
crt,CALR,CALR,811,ENSG00000179218
hmgb1,HMGB1,HMGB1,3146,ENSG00000189403
anxa1,ANXA1,ANXA1,301,ENSG00000135046
hsp70,HSPA1A,HSPA1A,3303,ENSG00000234475
hsp90,HSP90AA1,HSP90AA1,3320,ENSG00000080824
type1_ifn,IFNA/IFNB,IFNA1,3439,ENSG00000197919
type1_ifn,IFNA/IFNB,IFNB1,3456,ENSG00000171855
ldha,LDHA,LDHA,3939,ENSG00000134333
ldhb,LDHB,LDHB,3945,ENSG00000111716
slc16a1,SLC16A1,SLC16A1,6566,ENSG00000155380
slc16a3,SLC16A3,SLC16A3,9123,ENSG00000141526
hif1a,HIF1A,HIF1A,3091,ENSG00000100644
vegfa,VEGFA,VEGFA,7422,ENSG00000112715
nfe2l2,NFE2L2,NFE2L2,4780,ENSG00000116044
cd91,LRP1,LRP1,4035,ENSG00000123384
tlr4,TLR4,TLR4,7099,ENSG00000136869
p2rx7,P2RX7,P2RX7,5027,ENSG00000089041
ager,AGER,AGER,177,ENSG00000230514
nlrp3,NLRP3,NLRP3,114548,ENSG00000162711
casp1,CASP1,CASP1,834,ENSG00000137752
il1b,IL1B,IL1B,3553,ENSG00000125538
cd47,CD47,CD47,961,ENSG00000196776
sirpa,SIRPA,SIRPA,140885,ENSG00000198053
cd80,CD80,CD80,941,ENSG00000121594
cd83,CD83,CD83,9308,ENSG00000112149
cd86,CD86,CD86,942,ENSG00000114013
cd11c,ITGAX,ITGAX,3687,ENSG00000140678
hla_a,HLA-A,HLA-A,3105,ENSG00000227715
hla_dr,HLA-DRA,HLA-DRA,3122,ENSG00000204287
ccr7,CCR7,CCR7,1236,ENSG00000126353
il12,IL12B,IL12B,3593,ENSG00000113302
cd8a,CD8A,CD8A,925,ENSG00000153563
cd3e,CD3E,CD3E,916,ENSG00000198851
cd4,CD4,CD4,920,ENSG00000010610
ifng,IFNG,IFNG,3458,ENSG00000111537
gzmb,GZMB,GZMB,3002,ENSG00000100453
prf1,PRF1,PRF1,5551,ENSG00000180644
trg_d,TRG/TRD,TRG,6965,
trg_d,TRG/TRD,TRD,6964,
il17a,IL17A,IL17A,3605,ENSG00000112115
tnf,TNF,TNF,7124,ENSG00000228321
il6,IL6,IL6,3569,ENSG00000136244
pd1,PDCD1,PDCD1,5133,ENSG00000188389
pdl1,CD274,CD274,29126,ENSG00000120217
ctla4,CTLA4,CTLA4,1493,ENSG00000163599
cd24,CD24,CD24,100133941,ENSG00000272398
cd44,CD44,CD44,960,ENSG00000026508
sell,SELL,SELL,6402,ENSG00000188404
tcf7,TCF7,TCF7,6932,ENSG00000081059
foxp3,FOXP3,FOXP3,50943,ENSG00000049768
adgre1,ADGRE1,ADGRE1,2015,ENSG00000174837
mrc1,MRC1,MRC1,4360,ENSG00000260314
nos2,NOS2,NOS2,4843,ENSG00000007171
arg1,ARG1,ARG1,383,ENSG00000118520
